define, pin, hardware
BUTTON_PIN, 4, 
MIC_PIN, A3, adafruit electrolet microphone amplifier https://www.adafruit.com/product/1063
POT_PIN, A0,
DISPLAY_POINT_PIN, 9,
DISPLAY_START_PIN, 6,
LED_PIN, 3, adafruit neopixel digital RGV LED strip https://www.adafruit.com/product/1461
